Nombre,Este__X_,Norte__Y_,Azimut de elongación,Azimut de la brecha
Granates,3.646.656.314,2.333.952.185,102°,
Morelia,3.564.464.008,232.419.092,,
San Vicente,3.617.825.106,2.208.062.102,,
Yarumal,3.646.550.693,219.483.525,78°  ,
Mondeyal,3.692.862.164,214.413.082,90° ,80°
San Lorenzo,3.676.786.428,2.132.165.225,,
La Horqueta,3.612.203.654,2.127.911.999,,
Canastos,3.661.331.249,2.124.191.501,174°  ,
Purutal,3.556.266.636,2.117.511.981,128° ,130°
Los Ídolos,3.653.292.206,2.116.826.771,84°  ,163°
El Trébol,3.653.289.173,2.112.527.368,112° ,
La Pelota,3.569.548.539,2.110.438.457,90° ,
La China,353.709.744,2.103.399.406,82°  ,167°
La Guaca,361.805.526,2.101.189.676,49°,138°
La Gorda,3.653.898.321,2.099.935.827,109° ,
Granada,3.612.182.014,2.098.122.864,65°  ,
Chico,3.656.056.802,2.093.485.216,55°  ,
Campoalegre,3.686.340.176,2.095.921.123,85°,
Vega Chiquita,36720413,22577809,122° ,
Junín,36081948,21595352,26°  ,
Hornitos,36098356,21542925,15°  ,
