FID,id,ORIG_FID,MBG_Width,MBG_Length,MBG_Orient
0,0,0,809.789,833.823,26.60000038
1,0,1,793.15,922.78,46.09999847
2,0,2,1155.041,1835.519,35.59999847
3,0,3,1039.463,1130.554,138.6999969
4,0,4,1404.735,1736.623,76.5
5,0,5,734.213,1277.488,68.69999695
6,0,6,1044.032,1228.391,71.09999847
7,0,7,1134.612,1213.661,64.69999695
8,0,8,625.892,774.947,66.59999847
9,0,9,592.777,811.752,163.3000031
10,0,10,441.753,677.355,34.40000153
11,0,11,1094.853,1655.955,65.90000153
12,0,12,1070.085,1345.307,57.29999924
13,0,13,752.57,936.243,148.8999939
14,0,14,899.937,1079.082,67.5
15,0,15,839.37,935.509,63.40000153
16,0,16,1749.694,3146.438,29.79999924
17,0,17,711.723,787.903,152.1000061
18,0,18,1362.608,1887.019,81
19,0,19,784.891,1090.498,81.80000305
